url,rest_num,category
https://www.ubereats.com/gb/category/london-eng/korean,6664,korean
https://www.ubereats.com/gb/category/london-eng/korean-bbq,6744,korean-bbq
https://www.ubereats.com/gb/category/london-eng/kosher,6772,kosher
https://www.ubereats.com/gb/category/london-eng/lasagne,6852,lasagne
https://www.ubereats.com/gb/category/london-eng/late-night,6932,late-night
https://www.ubereats.com/gb/category/london-eng/latin-american,7012,latin-american
https://www.ubereats.com/gb/category/london-eng/latin-fusion,7044,latin-fusion
https://www.ubereats.com/gb/category/london-eng/lebanese,7124,lebanese
https://www.ubereats.com/gb/category/london-eng/liquor,7204,liquor
https://www.ubereats.com/gb/category/london-eng/lobster,7284,lobster
https://www.ubereats.com/gb/category/london-eng/low-calorie,7364,low-calorie
https://www.ubereats.com/gb/category/london-eng/low-carb,7444,low-carb
https://www.ubereats.com/gb/category/london-eng/mac-and-cheese,7524,mac-and-cheese
https://www.ubereats.com/gb/category/london-eng/malaysian,7604,malaysian
https://www.ubereats.com/gb/category/london-eng/matcha,7684,matcha
https://www.ubereats.com/gb/category/london-eng/mediterranean,7764,mediterranean
https://www.ubereats.com/gb/category/london-eng/mexican,7844,mexican
https://www.ubereats.com/gb/category/london-eng/middle-eastern,7924,middle-eastern
https://www.ubereats.com/gb/category/london-eng/milkshake,8004,milkshake
https://www.ubereats.com/gb/category/london-eng/modern-asian,8084,modern-asian
https://www.ubereats.com/gb/category/london-eng/modern-european,8164,modern-european
https://www.ubereats.com/gb/category/london-eng/modern-french,8181,modern-french
https://www.ubereats.com/gb/category/london-eng/moroccan,8226,moroccan
https://www.ubereats.com/gb/category/london-eng/nepalese,8306,nepalese
https://www.ubereats.com/gb/category/london-eng/new-american,8386,new-american
https://www.ubereats.com/gb/category/london-eng/new-canadian,8466,new-canadian
https://www.ubereats.com/gb/category/london-eng/new-mexican,8546,new-mexican
https://www.ubereats.com/gb/category/london-eng/nigerian,8626,nigerian
https://www.ubereats.com/gb/category/london-eng/noodles,8706,noodles
https://www.ubereats.com/gb/category/london-eng/north-indian,8786,north-indian
https://www.ubereats.com/gb/category/london-eng/northeastern-thai,8866,northeastern-thai
https://www.ubereats.com/gb/category/london-eng/northern-thai,8946,northern-thai
https://www.ubereats.com/gb/category/london-eng/organic,9026,organic
https://www.ubereats.com/gb/category/london-eng/oysters,9106,oysters
https://www.ubereats.com/gb/category/london-eng/paella,9186,paella
https://www.ubereats.com/gb/category/london-eng/pakistani,9266,pakistani
https://www.ubereats.com/gb/category/london-eng/pasta,9346,pasta
https://www.ubereats.com/gb/category/london-eng/pastry,9426,pastry
https://www.ubereats.com/gb/category/london-eng/persian,9506,persian
https://www.ubereats.com/gb/category/london-eng/peruvian,9518,peruvian
https://www.ubereats.com/gb/category/london-eng/pharmacy,9520,pharmacy
https://www.ubereats.com/gb/category/london-eng/pho,9600,pho
https://www.ubereats.com/gb/category/london-eng/pie,9680,pie
https://www.ubereats.com/gb/category/london-eng/pizza,9760,pizza
https://www.ubereats.com/gb/category/london-eng/poke,9840,poke
https://www.ubereats.com/gb/category/london-eng/polish,9895,polish
https://www.ubereats.com/gb/category/london-eng/pollo,9975,pollo
https://www.ubereats.com/gb/category/london-eng/portuguese,10055,portuguese
https://www.ubereats.com/gb/category/london-eng/poutine,10135,poutine
https://www.ubereats.com/gb/category/london-eng/pretzel,10215,pretzel
https://www.ubereats.com/gb/category/london-eng/pub,10295,pub
https://www.ubereats.com/gb/category/london-eng/puerto-rican,10296,puerto-rican
https://www.ubereats.com/gb/category/london-eng/ramen,10376,ramen
https://www.ubereats.com/gb/category/london-eng/raw,10456,raw
https://www.ubereats.com/gb/category/london-eng/ribs,10536,ribs
https://www.ubereats.com/gb/category/london-eng/rolls,10616,rolls
https://www.ubereats.com/gb/category/london-eng/rum,10696,rum
https://www.ubereats.com/gb/category/london-eng/russian,10705,russian
https://www.ubereats.com/gb/category/london-eng/salad,10785,salad
https://www.ubereats.com/gb/category/london-eng/salmon,10865,salmon
https://www.ubereats.com/gb/category/london-eng/sandwich,10945,sandwich
https://www.ubereats.com/gb/category/london-eng/sashimi,11025,sashimi
https://www.ubereats.com/gb/category/london-eng/scottish,11029,scottish
https://www.ubereats.com/gb/category/london-eng/seafood,11109,seafood
https://www.ubereats.com/gb/category/london-eng/shanghai,11189,shanghai
https://www.ubereats.com/gb/category/london-eng/shawarma,11269,shawarma
https://www.ubereats.com/gb/category/london-eng/singaporean,11303,singaporean
https://www.ubereats.com/gb/category/london-eng/snacks,11383,snacks
https://www.ubereats.com/gb/category/london-eng/soul-food,11463,soul-food
https://www.ubereats.com/gb/category/london-eng/soup,11543,soup
https://www.ubereats.com/gb/category/london-eng/south-african,11582,south-african
https://www.ubereats.com/gb/category/london-eng/south-american,11662,south-american
https://www.ubereats.com/gb/category/london-eng/south-asian,11742,south-asian
https://www.ubereats.com/gb/category/london-eng/south-east-asian,11822,south-east-asian
https://www.ubereats.com/gb/category/london-eng/south-indian,11902,south-indian
https://www.ubereats.com/gb/category/london-eng/southern,11982,southern
https://www.ubereats.com/gb/category/london-eng/southern-thai,12062,southern-thai
https://www.ubereats.com/gb/category/london-eng/spanish,12142,spanish
https://www.ubereats.com/gb/category/london-eng/spirits,12222,spirits
https://www.ubereats.com/gb/category/london-eng/sri-lankan,12298,sri-lankan
https://www.ubereats.com/gb/category/london-eng/street-food,12378,street-food
https://www.ubereats.com/gb/category/london-eng/sushi,12458,sushi
https://www.ubereats.com/gb/category/london-eng/swedish,12460,swedish
https://www.ubereats.com/gb/category/london-eng/sweets,12540,sweets
https://www.ubereats.com/gb/category/london-eng/taiwanese,12620,taiwanese
https://www.ubereats.com/gb/category/london-eng/tapas,12700,tapas
https://www.ubereats.com/gb/category/london-eng/tex-mex,12753,tex-mex
https://www.ubereats.com/gb/category/london-eng/thai,12833,thai
https://www.ubereats.com/gb/category/london-eng/traditional-american,12913,traditional-american
https://www.ubereats.com/gb/category/london-eng/turkish,12993,turkish
https://www.ubereats.com/gb/category/london-eng/udon,13073,udon
https://www.ubereats.com/gb/category/london-eng/vegan,13153,vegan
https://www.ubereats.com/gb/category/london-eng/vegan-friendly,13233,vegan-friendly
https://www.ubereats.com/gb/category/london-eng/vegetarian,13313,vegetarian
https://www.ubereats.com/gb/category/london-eng/vegetarian-friendly,13393,vegetarian-friendly
https://www.ubereats.com/gb/category/london-eng/vietnamese,13473,vietnamese
https://www.ubereats.com/gb/category/london-eng/west-african,13552,west-african
https://www.ubereats.com/gb/category/london-eng/west-indian,13632,west-indian
https://www.ubereats.com/gb/category/london-eng/western,13712,western
https://www.ubereats.com/gb/category/london-eng/wine,13792,wine
https://www.ubereats.com/gb/category/london-eng/wings,13872,wings
https://www.ubereats.com/gb/category/london-eng/wrap,13952,wrap
https://www.ubereats.com/gb/category/london-eng/yakiniku,14032,yakiniku
https://www.ubereats.com/gb/category/london-eng/yakitori,14112,yakitori
