name,url,cuisine,avgRating,priceRange,latitude,longitude,postalCode,streetAddress,addressLocality,addressRegion,addressString
WNGZ - Clapton,https://www.ubereats.com/gb/store/wngz-clapton/oKupLd9bWxCiiSAssd1Yuw,"['Wings', 'American', 'Fast food', 'Exclusive to Uber Eats', 'Group Friendly', 'Fried Chicken', 'Burgers']",4.0,€,51.55616,-0.05566,E5 8EG,187 Lower Clapton Road,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'E5 8EG', 'addressCountry': 'GB', 'streetAddress': '187 Lower Clapton Road'}"
Baskin Robbins (Baker Street),https://www.ubereats.com/gb/store/baskin-robbins-baker-street/1uDFXVUGToaVKNn3gEJDDw,"['Ice Cream & Frozen Yogurt', 'Comfort food', 'Desserts']",4.8,€€,51.52319,-0.15787,NW1 5,208 Baker Street,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'NW1 5', 'addressCountry': 'GB', 'streetAddress': '208 Baker Street'}"
Kaleido Saint Pancras ,https://www.ubereats.com/gb/store/kaleido-saint-pancras/r_JFA9c-Qwu9P9cvSCXB6g,"['Healthy', 'Vegetarian', 'Salads']",5.0,,51.53099553008798,-0.12644475633432795,,,,,
Bagel & Shakes (Wembley),https://www.ubereats.com/gb/store/bagel-%26-shakes-wembley/SEVhZ_EjTVC427lLWDAbUA,"['Breakfast and brunch', 'Sandwich', 'Bagels', 'Fast food', 'Exclusive to Uber Eats']",4.2,€,51.5535576,-0.2931266,HA9 7,High Rd,Wembley,England,"{'@type': 'PostalAddress', 'addressLocality': 'Wembley', 'addressRegion': 'England', 'postalCode': 'HA9 7', 'addressCountry': 'GB', 'streetAddress': 'High Rd'}"
ChaChaa Chicken,https://www.ubereats.com/gb/store/chachaa-chicken/c5ljMBMDXGqiGzkBUNjqEQ,"['Chicken', 'Wings', 'Korean']",,€,51.54185,-0.13671,,,,,
Bubble Bear Bubble Tea 泡泡熊 ,https://www.ubereats.com/gb/store/bubble-bear-bubble-tea-%E6%B3%A1%E6%B3%A1%E7%86%8A/ltk-8lm9RneCEc5jeFZDrw,"['Bubble tea', 'Asian', 'juiceandsmoothies', 'desserts', 'taiwanese', 'tea & coffee']",4.8,€€,51.56386,-0.35421,HA2 8HS,"Unit 7 
259-261 Northolt Road",Harrow,,"{'@type': 'PostalAddress', 'addressLocality': 'Harrow', 'addressRegion': '', 'postalCode': 'HA2 8HS', 'addressCountry': 'GB', 'streetAddress': 'Unit 7 \r\n259-261 Northolt Road'}"
Oriental Masterchef,https://www.ubereats.com/gb/store/oriental-masterchef/nJonaXybS3qz-1pOmlyuqg,"['Asian', 'Noodles', 'Fast food', 'Chinese']",4.4,,51.6122844,-0.1604244,N12 9AY,189 Woodhouse Rd,London,England,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'England', 'postalCode': 'N12 9AY', 'addressCountry': 'GB', 'streetAddress': '189 Woodhouse Rd'}"
Chip Inn,https://www.ubereats.com/gb/store/chip-inn/onRgaun7SRGvAG1tqonlZQ,"['Fish & chips', 'British', 'Seafood', 'Group Friendly']",4.6,€,51.550641,-0.1096508,N7 8DJ,193 Holloway Road,ISLINGTON,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'ISLINGTON', 'addressRegion': 'EMEA', 'postalCode': 'N7 8DJ', 'addressCountry': 'GB', 'streetAddress': '193 Holloway Road'}"
Burgerstein (Waterloo),https://www.ubereats.com/gb/store/burgerstein-waterloo/2qJgr5S_TDKkcN66kta7-Q,"['Halal', 'Burgers', 'American', 'Comfort Food', 'Sandwich']",,€,51.49917,-0.10895,SE1 7QZ,"68-69 Morley Street, Southwark",London,London,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'London', 'postalCode': 'SE1 7QZ', 'addressCountry': 'GB', 'streetAddress': '68-69 Morley Street, Southwark'}"
Watch Me,https://www.ubereats.com/gb/store/watch-me/sdf9eHMGTmS8gvou-lNGNw,"['Indian', 'Asian', 'Group Friendly']",4.5,€€,51.410254,-0.192662,SW19 3BP,Morden Rd,London,,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': '', 'postalCode': 'SW19 3BP', 'addressCountry': 'GB', 'streetAddress': 'Morden Rd'}"
Oregano Leaf Pizza,https://www.ubereats.com/gb/store/oregano-leaf-pizza/Tf4Rh8SzSTGLhdYh-E1NAw,"['Comfort', 'Food', 'Pizza', 'American', 'Italian', 'Comfort Food', 'Eastern European', 'European', 'Allergy friendly']",4.4,,51.38152,-0.283,KT6 7DJ,41 Tolworth Broadway,Surbiton,England,"{'@type': 'PostalAddress', 'addressLocality': 'Surbiton', 'addressRegion': 'England', 'postalCode': 'KT6 7DJ', 'addressCountry': 'GB', 'streetAddress': '41 Tolworth Broadway'}"
Texas Mess Burgers - Thompson Close,https://www.ubereats.com/gb/store/texas-mess-burgers-thompson-close/uecONA0dVRSPkGyRjEDtEg,"['Burgers', 'American', 'Vegan friendly']",,€,51.56124907481458,0.08101476117620819,IG1 1TY,"Unit 11, Redbridge Enterprise Center",Ilford,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'Ilford', 'addressRegion': 'EMEA', 'postalCode': 'IG1 1TY', 'addressCountry': 'GB', 'streetAddress': 'Unit 11, Redbridge Enterprise Center'}"
Spoon & Rice (Willesden),https://www.ubereats.com/gb/store/spoon-%26-rice-willesden/VmRTmGFSUMyqmjYippWibw,"['Halal', 'Asian', 'Filipino']",4.7,,51.54788,-0.22551,NW10 2QG,16 High Road,London,England,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'England', 'postalCode': 'NW10 2QG', 'addressCountry': 'GB', 'streetAddress': '16 High Road'}"
Lahori,https://www.ubereats.com/gb/store/lahori/hW-L1ONoUQeS8yDoqmr8vQ,"['Vegan', 'Fish & Seafood', 'Beef Noodles', 'Indian', 'Chicken', 'Seafood', 'Vegetarian', 'Noodles', 'Pakistani', 'Green Grocer (Fruit & Vegetables)', 'Vegan friendly', 'Vegetarian friendly']",4.2,€€,51.52454618785132,-0.16911766270607853,,,,,
All Day Brunch -Cafe Lavista ,https://www.ubereats.com/gb/store/all-day-brunch-cafe-lavista/qmOHpubuUBKe-bcRqmS2hQ,"['Coffee & tea', 'American', 'Breakfast and brunch']",,,51.51797,-0.07131,E1 6PU,15 Brick Lane,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'E1 6PU', 'addressCountry': 'GB', 'streetAddress': '15 Brick Lane'}"
Haweli Restaurant,https://www.ubereats.com/gb/store/haweli-restaurant/k2mItIWeSkqSmpLtlLFx0g,['Pakistani'],4.3,€€,51.5499,0.07477,IG1 2,302,Ilford,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'Ilford', 'addressRegion': 'EMEA', 'postalCode': 'IG1 2', 'addressCountry': 'GB', 'streetAddress': '302'}"
Hefaure 黑芙蕾 - Chinatown,https://www.ubereats.com/gb/store/hefaure-%E9%BB%91%E8%8A%99%E8%95%BE-chinatown/z8VDSv66SJSnpAQCHG_pCA,"['Chinese', 'Desserts', 'Coffee & tea']",4.8,,51.51229,-0.13099,W1D 5EH,108 Shaftesbury Avenue,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'W1D 5EH', 'addressCountry': 'GB', 'streetAddress': '108 Shaftesbury Avenue'}"
Esarn Kheaw Thai Restaurant,https://www.ubereats.com/gb/store/esarn-kheaw-thai-restaurant/nn68sU5rQnuN01LH3NGdRQ,"['Thai', 'Noodles', 'Fast food', 'Northern Thai', 'Northeastern Thai', 'Southern Thai']",4.5,€,51.5063774,-0.2320685,W12 7LJ,314 Uxbridge Rd,London,England,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'England', 'postalCode': 'W12 7LJ', 'addressCountry': 'GB', 'streetAddress': '314 Uxbridge Rd'}"
Tario Express Food & Wine,https://www.ubereats.com/gb/store/tario-express-food-%26-wine/T54cU9AZTxSBaq7M2ATiQQ,"['Off-licences', 'Coffee & tea', 'Alcohol', 'Drinks', 'Family friendly', 'Frozen Food', 'Kid friendly', 'Sweets', 'chocolatier']",,€€,51.5151,-0.12225,,,,,
The Pine,https://www.ubereats.com/gb/store/the-pine/0O0mKmH_VXCCZj4Nrj2Zjg,"['European', 'Lebanese', 'Middle Eastern', 'Kebab']",,,51.51832195713359,-0.16680493336124957,NW1 5RA,259 - 269 Old Marylebone Road,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'NW1 5RA', 'addressCountry': 'GB', 'streetAddress': '259 - 269 Old Marylebone Road'}"
Cambio De Tercio,https://www.ubereats.com/gb/store/cambio-de-tercio/rfT0X1LqSF2urLMIsqai4A,"['Spanish', 'Burgers', 'Mediterranean']",,,51.4906871,-0.1836697,SW5 0LJ,163 Old Brompton Road,LONDON,,"{'@type': 'PostalAddress', 'addressLocality': 'LONDON', 'addressRegion': '', 'postalCode': 'SW5 0LJ', 'addressCountry': 'GB', 'streetAddress': '163 Old Brompton Road'}"
The Grape Wine Off Licence,https://www.ubereats.com/gb/store/the-grape-wine-off-licence/S9Qsz9bFTp2lTaQj_IRCeA,"['Alcohol', 'Irish', 'British']",,€€,51.546608,0.005984,E15 1,"51 Leytonstone Road, Stratford",London,,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': '', 'postalCode': 'E15 1', 'addressCountry': 'GB', 'streetAddress': '51 Leytonstone Road, Stratford'}"
Masa Restaurant,https://www.ubereats.com/gb/store/masa-restaurant/SINUbo2TTemdZgTFm2qzhQ,['Afghan'],4.6,€€,51.5938066,-0.3365626,HA3 5,Headstone Dr,Harrow,England,"{'@type': 'PostalAddress', 'addressLocality': 'Harrow', 'addressRegion': 'England', 'postalCode': 'HA3 5', 'addressCountry': 'GB', 'streetAddress': 'Headstone Dr'}"
Cloud 7,https://www.ubereats.com/gb/store/cloud-7/fDBWnvklV3idhcFHwJJs9w,"['Middle', 'Eastern']",4.6,,51.60938,-0.28238,HA8 6LD,"7 Handal parade
Whitchurch lane
Edgware",Egware,London,"{'@type': 'PostalAddress', 'addressLocality': 'Egware', 'addressRegion': 'London', 'postalCode': 'HA8 6LD', 'addressCountry': 'GB', 'streetAddress': '7 Handal parade\r\nWhitchurch lane\r\nEdgware'}"
Mr Potatoes,https://www.ubereats.com/gb/store/mr-potatoes/J2RgB5xjWk2X52UrEzUglA,"['Food', 'Fish & chips', 'Chicken', 'Allergy friendly']",,,51.48537,-0.03443,SE8 5DB,166 Evelyn St,London,England,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'England', 'postalCode': 'SE8 5DB', 'addressCountry': 'GB', 'streetAddress': '166 Evelyn St'}"
Jollof City (Colindale),https://www.ubereats.com/gb/store/jollof-city-colindale/jG2o4pZoSN-6vZTIW5IjTA,"['African', 'Nigerian', 'Rice & Curry']",4.0,€€,51.58230521946309,-0.25943701386110857,NW9 8XG,"Unit 34 Knightsbridge House, 
Kingsbury Road",London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'NW9 8XG', 'addressCountry': 'GB', 'streetAddress': 'Unit 34 Knightsbridge House, \r\nKingsbury Road'}"
Kamayan sa Earls Court,https://www.ubereats.com/gb/store/kamayan-sa-earls-court/lBooDbpiT0O-qDwFExxZ4Q,"['Breakfast and brunch', 'Vegetarian friendly', 'Comfort food', 'Allergy friendly']",4.2,€,51.492947,-0.193446,,,,,
Che Cosa Woodfired Pizza,https://www.ubereats.com/gb/store/che-cosa-woodfired-pizza/3uTt3zn7TUKSXh83zDd8rw,"['Italian', 'Pizza', 'Pasta', 'Vegan friendly']",4.6,€,51.5646329,-0.1325646,N19 5SE,653 Holloway Rd,London,England,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'England', 'postalCode': 'N19 5SE', 'addressCountry': 'GB', 'streetAddress': '653 Holloway Rd'}"
Prezzemolo & Vitale (Notting Hill),https://www.ubereats.com/gb/store/prezzemolo-%26-vitale-notting-hill/3LpXGBHsS6u73Dr_11PdIA,"['Italian', 'Pasta', 'Comfort food', 'Snacks', 'Wine', 'Specialty', 'Specialty Goods', 'Bakery', 'Premium', 'Local Grocer', 'Local Specialities', 'OrganicProducts', 'Cheese', 'Convenience', 'Alcohol']",4.7,,51.51522,-0.19267,W2 4UL,"87 Westbourne Grove, Bayswater",London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'W2 4UL', 'addressCountry': 'GB', 'streetAddress': '87 Westbourne Grove, Bayswater'}"
Lituanica (Walthamstow),https://www.ubereats.com/gb/store/lituanica-walthamstow/HHRDdfSaQqC-ZY6nStwBXQ,"['Eastern European', 'Comfort food']",4.5,,51.5818489,-0.0326478,,,,,
Papa-dum - Street Kitchen,https://www.ubereats.com/gb/store/papa-dum-street-kitchen/s5AidDlRR4Ks-el8XL4JKQ,"['Indian', 'Asian', 'Indian curry', 'Vegetarian']",4.7,,51.51483,-0.15039,W1U 1EH,20 James Street,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'W1U 1EH', 'addressCountry': 'GB', 'streetAddress': '20 James Street'}"
Estrela Bar,https://www.ubereats.com/gb/store/estrela-bar/DhIoX98kQc6dPkvdvm0Whw,"['Portuguese', 'Desserts', 'Allergy friendly']",4.8,,51.479339,-0.1233326,SW8 1,111-115 South Lambeth Road,London,,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': '', 'postalCode': 'SW8 1', 'addressCountry': 'GB', 'streetAddress': '111-115 South Lambeth Road'}"
Greek Pitta London,https://www.ubereats.com/gb/store/greek-pitta-london/6ZHOnCHuXkirBIioO5QnBg,"['Vegetarian', 'Chicken', 'Chicken', 'Mediterranean', 'Greek']",4.7,€€,51.560159693297074,-0.251252991304417,,,,,
Negi Ramen (Vauxhall),https://www.ubereats.com/gb/store/negi-ramen-vauxhall/qdcZgWT7TrGXLN8seFYghA,"['Sushi', 'Japanese', 'Comfort food', 'Street food']",3.9,€,51.49676,-0.11549,SE1 7,191 Carlisle Lane,London,,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': '', 'postalCode': 'SE1 7', 'addressCountry': 'GB', 'streetAddress': '191 Carlisle Lane'}"
Caterham Malaysian Fusion,https://www.ubereats.com/gb/store/caterham-malaysian-fusion/Posb9_nFX568rJ8rcWcSdg,"['Asian', 'Noodles', 'Drinks', 'Soup', 'Seafood', 'Malaysian', 'Rice dishes', 'Chicken', 'Family friendly', 'Asian fusion', 'Chinese', 'Cantonese', 'English', 'Thai']",,€,51.28168,-0.07607,CR3 6RA,20 Godstone Road,Caterham,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'Caterham', 'addressRegion': 'EMEA', 'postalCode': 'CR3 6RA', 'addressCountry': 'GB', 'streetAddress': '20 Godstone Road'}"
Lime Orange,https://www.ubereats.com/gb/store/lime-orange/olB-EuGdUXKqpJv0fdzf3Q,"['Korean', 'Restaurant', 'Asian', 'BBQ']",4.2,€,51.49553,-0.1422,SW1V 1AA,312 Vauxhall Bridge Rd,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'SW1V 1AA', 'addressCountry': 'GB', 'streetAddress': '312 Vauxhall Bridge Rd'}"
The Kebab Company,https://www.ubereats.com/gb/store/the-kebab-company/SfCxgTPJV8quK-qv6JNtJQ,"['Turkish', 'Burgers', 'Halal', 'Mediterranean', 'American', 'Vegetarian', 'Desserts', 'Bakery', 'Coffee & tea', 'Fast food']",,€€,51.445640528107916,-0.15029310665311177,SW12 9AP,85 Balham High Rd,LONDON,LONDON,"{'@type': 'PostalAddress', 'addressLocality': 'LONDON', 'addressRegion': 'LONDON', 'postalCode': 'SW12 9AP', 'addressCountry': 'GB', 'streetAddress': '85 Balham High Rd'}"
EL&N London - Carnaby Street,https://www.ubereats.com/gb/store/el%26n-london-carnaby-street/3_Q9xfkGSVGSpNLK3ElmUw,"['Coffee & tea', 'Breakfast and brunch', 'Desserts']",,€€,51.51406,-0.13958,W1F 7,"Ground Floor And Basement, 35 Great Marlborough Street Carnaby",London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'W1F 7', 'addressCountry': 'GB', 'streetAddress': 'Ground Floor And Basement, 35 Great Marlborough Street Carnaby'}"
Festival of Seas - Colindale,https://www.ubereats.com/gb/store/festival-of-seas-colindale/wt8T9IdGVHuH4QLf08yKMg,"['Fish & Seafood', 'Fast food', 'Halal', 'Southern', 'Burgers']",4.8,,51.58286960383739,-0.2629195851103956,NW9 8XG,"Knightsbridge House
Hool Close",London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'NW9 8XG', 'addressCountry': 'GB', 'streetAddress': 'Knightsbridge House\r\nHool Close'}"
Gold Mine 金山樓 - Queensway,https://www.ubereats.com/gb/store/gold-mine-%E9%87%91%E5%B1%B1%E6%A8%93-queensway/VV0U2ZfQQ1WPA4mbbbW9dQ,"['Chinese', 'Asian', 'Noodles', 'Asian fusion', 'Vegetarian friendly']",4.6,€€,51.5133845,-0.1874247,W2 3,100- 102 Queensway,London,,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': '', 'postalCode': 'W2 3', 'addressCountry': 'GB', 'streetAddress': '100- 102 Queensway'}"
Rico Burrito,https://www.ubereats.com/gb/store/rico-burrito/LjESXeeaTnWpstaSaDNSuQ,"['Mexican', 'Latin American', 'New Mexican']",,,51.5400162,-0.1432943,NW1 8,"Unit 2.11, Camden (Buck Street) Market
192-198 Camden High street",London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'NW1 8', 'addressCountry': 'GB', 'streetAddress': 'Unit 2.11, Camden (Buck Street) Market\n192-198 Camden High street'}"
GIA Bistro & Bar,https://www.ubereats.com/gb/store/gia-bistro-%26-bar/MtSajgKVTsq6r92EQroLWg,"['Mediterranean', 'Burgers', 'Pasta']",,€,51.55096,-0.07533,N16 8,11 Stoke Newington Rd,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'N16 8', 'addressCountry': 'GB', 'streetAddress': '11 Stoke Newington Rd'}"
Boukis Grill,https://www.ubereats.com/gb/store/boukis-grill/sme5Fo_OVhKavb5hjRLW9w,"['Greek', 'Mediterranean', 'Salads', 'Comfort Food', 'Healthy', 'Allergy friendly']",4.4,€,51.527,-0.0965,EC1V 3RA,85 Lever Street,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'EC1V 3RA', 'addressCountry': 'GB', 'streetAddress': '85 Lever Street'}"
Peninsula (Crystal palace),https://www.ubereats.com/gb/store/peninsula-crystal-palace/sehA-PFPX9qm21JLupnEfw,"['Halal', 'Indian', 'Indian curry', 'Chinese', 'Malaysian']",,,51.41956,-0.07859,SE19 2TF,3 Church Road,London,England,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'England', 'postalCode': 'SE19 2TF', 'addressCountry': 'GB', 'streetAddress': '3 Church Road'}"
Go Mezza (Kilburn),https://www.ubereats.com/gb/store/go-mezza-kilburn/-8OolEuHTlWd4Tc0I45aYg,"['Lebanese', 'Halal', 'Sandwich', 'Burgers', 'Group Friendly', 'Exclusive to Uber Eats']",4.4,€,51.5433,-0.19998,NW6 7,267 Kilburn High Road,London,London,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'London', 'postalCode': 'NW6 7', 'addressCountry': 'GB', 'streetAddress': '267 Kilburn High Road'}"
WNGZ - Camden,https://www.ubereats.com/gb/store/wngz-camden/zE9CiMPXViO7O0PPYEd5dQ,"['Halal', 'Wings', 'Burgers', 'Chicken', 'Fried Chicken', 'Comfort Food', 'Drinks', 'American', 'Allergy friendly', 'Group Friendly', 'Exclusive to Uber Eats']",4.3,,51.53975,-0.14253,NW1 8NH,11 Kentish Town Road,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'NW1 8NH', 'addressCountry': 'GB', 'streetAddress': '11 Kentish Town Road'}"
French Tacos UK,https://www.ubereats.com/gb/store/french-tacos-uk/sgVdaDomTR63JpbISIfOSA,"['Chicken', 'Tacos', 'Mexican', 'Halal', 'Tacos', 'Chicken', 'Fast food', 'Allergy friendly']",4.3,,51.46827,-0.08638,SE5 8BG,117a Grove Lane,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'SE5 8BG', 'addressCountry': 'GB', 'streetAddress': '117a Grove Lane'}"
